城市,2010得分,2011得分,2012得分,2013得分,2014得分,2015得分,2016得分,2017得分,2018得分,2019得分
连云港市,65.912,71.59,71.451,70.357,69.264,68.17,66.343,64.516,66.698,68.881
通辽市,66.263,70.913,71.129,69.644,68.16,66.675,66.91,67.144,66.691,66.238
广元市,67.968,72.522,72.327,71.439,70.551,69.663,68.259,66.855,66.69,66.524
铜仁市,,,,,,,,67.216,66.689,66.162
长治市,68.017,74.158,71.761,69.941,68.121,66.301,65.742,65.183,66.65,68.118
邵阳市,64.698,69.507,69.993,69.249,68.504,67.76,67.286,66.812,66.636,66.46
普洱市,67.217,72.268,70.77,70.322,69.874,69.426,68.555,67.683,66.636,65.588
梧州市,65.651,68.633,69.08,68.616,68.153,67.689,66.269,64.849,66.629,68.409
朔州市,65.377,69.168,68.004,66.974,65.945,64.915,65.057,65.198,66.6,68.003
鹰潭市,67.423,73.473,72.748,71.328,69.909,68.489,67.298,66.107,66.598,67.089
益阳市,62.265,68.668,68.895,68.302,67.71,67.117,67.319,67.521,66.523,65.525
抚顺市,,71.996,71.018,69.748,68.478,67.208,66.198,65.189,66.505,67.821
赣州市,66.085,69.861,69.639,69.058,68.477,67.896,66.416,64.935,66.495,68.054
衡阳市,63.156,70.379,70.005,68.855,67.705,66.555,65.465,64.374,66.494,68.614
佳木斯市,63.484,69.468,65.32,65.684,66.049,66.413,66.456,66.499,66.453,66.408
常德市,,68.741,68.728,68.077,67.425,66.774,66.256,65.738,66.441,67.144
临汾市,64.742,72.102,69.478,68.702,67.925,67.149,67.266,67.383,66.429,65.475
吕梁市,62.501,68.988,69.636,68.461,67.287,66.112,65.884,65.656,66.382,67.107
广安市,64.393,70.53,71.946,70.491,69.035,67.58,67.321,67.062,66.346,65.631
眉山市,62.944,70.799,70.756,70.128,69.501,68.873,67.058,65.243,66.337,67.43
齐齐哈尔市,,71.832,73.194,72.32,71.446,70.572,67.993,65.414,66.33,67.246
铁岭市,64.252,69.163,68.973,68.451,67.928,67.406,66.977,66.548,66.3,66.052
吉林市,65.438,71.483,68.701,67.837,66.974,66.11,65.761,65.412,66.283,67.154
防城港市,66.979,71.716,69.228,69.092,68.956,68.82,66.735,64.65,66.28,67.91
本溪市,69.017,73.426,76.609,73.999,71.39,68.78,67.297,65.813,66.273,66.734
抚州市,66.71,71.367,71.299,70.324,69.349,68.374,67.847,67.32,66.268,65.217
雅安市,63.824,71.547,71.828,71.559,71.289,71.02,68.99,66.961,66.242,65.523
白银市,66.529,71.84,71.575,70.933,70.292,69.65,68.044,66.438,66.228,66.018
昭通市,65.722,69.355,70.731,69.906,69.081,68.256,67.278,66.299,66.192,66.086
牡丹江市,66.589,71.432,69.646,68.095,66.544,64.993,64.576,64.16,66.108,68.055
孝感市,62.42,70.478,68.782,68.363,67.945,67.526,66.311,65.097,66.061,67.026
白城市,65.662,68.588,68.702,67.836,66.971,66.105,66.442,66.778,66.031,65.284
贵港市,65.362,72.361,70.943,69.459,67.974,66.49,66.188,65.886,65.993,66.1
通化市,64.837,71.273,70.517,68.977,67.438,65.898,65.799,65.701,65.961,66.221
吉安市,64.705,65.954,66.109,66.024,65.94,65.855,65.888,65.922,65.935,65.948
资阳市,62.817,70.589,69.121,68.826,68.532,68.237,66.858,65.48,65.926,66.372
汕尾市,63.983,64.414,66.988,66.59,66.193,65.795,66.107,66.418,65.871,65.325
贺州市,63.303,70.01,71.511,69.978,68.444,66.911,66.733,66.556,65.83,65.104
陇南市,66.028,72.19,70.775,70.208,69.64,69.073,67.734,66.396,65.823,65.251
郴州市,63.474,67.672,70.121,69.4,68.678,67.957,66.255,64.553,65.747,66.941
巴中市,70.725,73.899,72.61,72.272,71.934,71.596,68.947,66.298,65.666,65.034
辽源市,63.223,69.25,70.84,69.23,67.621,66.011,65.507,65.004,65.621,66.239
铜川市,69.08,71.591,68.501,68.16,67.82,67.479,66.505,65.531,65.558,65.585
平凉市,68.541,72.809,71.398,70.431,69.465,68.498,66.228,63.959,65.555,67.152
自贡市,63.291,69.359,67.638,67.753,67.868,67.983,66.382,64.782,65.494,66.206
四平市,62.418,68.339,68.099,67.798,67.496,67.195,67.118,67.042,65.474,63.905
鸡西市,65.74,69.603,68.629,68.862,69.094,69.327,68.02,66.713,65.469,64.226
萍乡市,64.664,71.723,71.742,70.286,68.83,67.374,66.058,64.742,65.468,66.193
张家界市,67.755,71.229,71.244,70.582,69.92,69.258,66.898,64.538,65.451,66.363
乌兰察布市,66.128,71.106,70.607,69.199,67.792,66.384,65.493,64.601,65.45,66.299
